City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Piopio,-38.4667,175.0167,57.0,99,28,3.38,NZ,1619818650
Grindavik,63.8424,-22.4338,35.6,75,20,19.57,IS,1619818169
Namatanai,-3.6667,152.4333,80.06,77,38,3.27,PG,1619818179
Bubaque,11.2833,-15.8333,78.84,72,36,18.16,GW,1619818651
Derzhavīnsk,51.1,66.3167,45.63,62,24,7.0,KZ,1619818652
Constitución,-35.3333,-72.4167,58.03,84,100,10.63,CL,1619817935
Saskylakh,71.9167,114.0833,30.63,87,100,8.72,RU,1619818123
Cidreira,-30.1811,-50.2056,68.56,72,0,14.65,BR,1619817950
Yumen,40.2833,97.2,61.99,11,95,5.21,CN,1619818254
Paternion,46.7142,13.6361,55.0,76,40,2.3,AT,1619818653
Eyl,7.9803,49.8164,83.21,74,95,7.45,SO,1619818145
Temascalapa,19.8333,-98.9,80.6,29,75,13.8,MX,1619818654
Nanning,22.8167,108.3167,69.8,94,72,2.24,CN,1619818601
Batagay-Alyta,67.8006,130.4114,25.79,90,100,3.33,RU,1619818242
Adrar,20.5022,-10.0711,78.24,42,15,8.14,MR,1619818286
Los Llanos de Aridane,28.6585,-17.9182,66.2,59,90,17.27,ES,1619818426
Nishihara,26.1842,127.7558,73.4,94,75,8.05,JP,1619818656
Makuyuni,-4.7333,38.1,70.03,96,75,3.18,TZ,1619818571
Boden,65.8252,21.6886,28.4,80,96,10.36,SE,1619818656
Strezhevoy,60.7333,77.5889,35.6,93,75,4.47,RU,1619818657
Shatsk,54.0258,41.7119,51.08,90,99,20.62,RU,1619818658
Maceió,-9.6658,-35.7353,78.8,83,40,9.22,BR,1619818263
Tortolì,39.9256,9.6572,60.8,94,40,2.3,IT,1619818658
San Cristobal,7.7669,-72.225,73.4,100,75,4.61,VE,1619818162
Aksu,41.1231,80.2644,66.83,14,0,1.86,CN,1619818401
Soe,-9.8607,124.284,65.62,93,57,5.1,ID,1619818659
Srednekolymsk,67.45,153.6833,21.36,82,10,9.69,RU,1619818215
Suntar,62.1444,117.6319,34.47,97,100,5.57,RU,1619818476
Pinheiro,-2.5214,-45.0825,74.26,97,70,1.63,BR,1619818661
Yining,29.0361,114.5636,65.03,77,1,2.17,CN,1619818177
Meulaboh,4.1363,96.1285,76.48,88,60,3.49,ID,1619818661
Vryburg,-26.9566,24.7284,54.59,64,2,12.62,ZA,1619818662
Vernon,50.2581,-119.2691,71.01,45,51,2.3,CA,1619818377
Cayenne,4.9333,-52.3333,80.6,78,20,10.36,GF,1619818204
Gunjur,13.2019,-16.7339,73.4,73,0,8.05,GM,1619818482
Tingi,-11.3,35.0333,62.96,93,69,3.8,TZ,1619818663
Tres Arroyos,-38.3739,-60.2798,60.64,64,0,12.64,AR,1619818664
Baruun-Urt,46.6806,113.2792,31.01,86,26,10.25,MN,1619818664
Shepsi,44.0361,39.1489,55.27,87,73,6.53,RU,1619818665
Dunedin,-45.8742,170.5036,45.63,79,68,5.17,NZ,1619818093
Leshukonskoye,64.8989,45.7622,33.37,78,100,4.43,RU,1619818665
Santander,43.4647,-3.8044,54.0,76,75,6.91,ES,1619818666
Kailua,21.4022,-157.7394,82.4,69,90,12.66,US,1619818666
Gander,48.9682,-54.5906,50.0,62,75,20.71,CA,1619818667
Rosetta,31.4044,30.4164,73.4,35,0,5.75,EG,1619818393
Oranjemund,-28.55,16.4333,55.98,88,0,13.11,NA,1619818278
Crown Point,41.417,-87.3653,51.01,50,1,6.91,US,1619818668
Kemijärvi,66.7131,27.4306,17.11,89,82,5.95,FI,1619818669
Salinópolis,-0.6136,-47.3561,76.39,87,100,4.34,BR,1619818670
São João da Barra,-21.6403,-41.0511,73.4,68,0,6.91,BR,1619817997
Phan Thiet,10.9333,108.1,77.77,86,88,6.53,VN,1619818670
Ankazobe,-18.3167,47.1167,60.8,94,20,3.44,MG,1619818671
San Jose,37.3394,-121.895,75.99,56,90,11.5,US,1619818600
San Miguel de Cozumel,20.5083,-86.9458,89.6,45,40,10.36,MX,1619818672
Clyde River,70.4692,-68.5914,24.8,100,90,5.75,CA,1619818128
Olafsvik,64.8945,-23.7142,35.04,63,65,28.32,IS,1619818147
Novikovo,51.1537,37.8879,54.81,85,92,10.2,RU,1619818429
Fenoarivo,-18.933,47.4354,60.8,94,20,3.44,MG,1619818673
Tilichiki,60.4667,166.1,25.83,86,39,9.4,RU,1619818499
Morón,-34.6534,-58.6198,71.6,49,0,6.91,AR,1619818671
Havelock,34.8791,-76.9013,81.0,31,65,13.0,US,1619818339
Hohhot,40.8106,111.6522,33.8,69,0,4.47,CN,1619818675
Yuci,37.6803,112.7319,42.8,56,0,2.24,CN,1619818675
Urozhaynoye,44.7883,44.9228,51.17,91,25,6.78,RU,1619818676
Rapid Valley,44.0625,-103.1463,84.99,23,1,4.61,US,1619818185
Zhangaözen,43.3,52.8,62.96,41,53,13.35,KZ,1619818445
Cascais,38.6979,-9.4215,57.0,62,20,11.5,PT,1619818677
Conceição do Araguaia,-8.2578,-49.2647,80.6,83,20,1.14,BR,1619818274
Salinas,36.6777,-121.6555,64.4,55,1,13.8,US,1619818399
Chillicothe,39.3331,-82.9824,60.8,48,75,16.11,US,1619818457
Broome,42.2506,-75.833,50.0,65,90,28.77,US,1619817921
Cilegon,-6.0174,106.0538,80.6,78,40,6.91,ID,1619818679
Saint-Augustin,51.226,-58.6502,41.22,77,80,14.05,CA,1619818431
Talcahuano,-36.7167,-73.1167,59.0,88,100,18.41,CL,1619818680
Rzhishchëv,49.9689,31.0463,55.4,94,0,4.47,UA,1619818680
Severnyy-Kospashskiy,59.0925,57.8008,30.0,57,97,1.01,RU,1619818681
Wynyard,-41.0,145.7167,52.0,92,96,5.01,AU,1619818682
Offa,8.15,4.7167,86.0,66,0,5.75,NG,1619818682
Oodweyne,9.4092,45.064,72.64,73,50,7.49,SO,1619818683
Redlands,34.0556,-117.1825,100.4,6,1,10.36,US,1619818037
Hambantota,6.1241,81.1185,75.2,100,20,1.14,LK,1619818250
Khartoum,15.5518,32.5324,91.99,30,100,12.59,SD,1619818684
Kurumkan,54.3,110.3,35.4,66,94,2.42,RU,1619818684
Beloha,-25.1667,45.05,71.38,75,10,5.46,MG,1619818021
Suozhen,36.9539,118.1047,44.38,74,0,5.73,CN,1619818685
Quito,-0.2299,-78.5249,62.6,67,75,5.75,EC,1619818500
Beringovskiy,63.05,179.3167,24.12,77,95,13.22,RU,1619818233
Baker,30.5882,-91.1682,79.0,73,90,9.22,US,1619818686
Santa Isabel,-23.3156,-46.2214,64.4,77,20,8.05,BR,1619818687
San Policarpo,12.1791,125.5072,79.2,76,98,2.42,PH,1619818687
Truckee,39.328,-120.1833,73.0,20,98,3.0,US,1619818608
Half Moon Bay,37.4636,-122.4286,73.0,87,90,13.8,US,1619818209
Sitka,57.0531,-135.33,46.4,87,90,10.36,US,1619818134
Morondava,-20.2833,44.2833,76.96,85,0,7.43,MG,1619818292
Bima,-8.4667,118.7167,74.88,94,12,1.95,ID,1619818689
Carinhanha,-14.3047,-43.765,80.64,48,100,10.71,BR,1619818689
Province of Mantua,45.1667,10.7833,60.01,86,96,5.01,IT,1619818690
Ingham,42.6,-84.3833,54.0,28,1,14.97,US,1619818690
Bahía Solano,6.2262,-77.4044,79.38,84,99,8.43,CO,1619818691
Batuan,9.7808,124.1484,78.8,83,75,2.3,PH,1619818691
Arrecife,28.963,-13.5477,64.4,63,20,8.05,ES,1619818692
San Ignacio,17.1561,-89.0714,100.4,37,20,6.91,BZ,1619818177
Whitehorse,60.7161,-135.0538,50.0,34,75,13.8,CA,1619818224
Dolores,-36.3132,-57.6792,58.71,71,0,8.34,AR,1619818692
Havre-St-Pierre,50.2334,-63.5986,44.6,76,90,9.22,CA,1619818693
Yeppoon,-23.1333,150.7333,66.2,82,73,6.91,AU,1619818497
Gorontalo,0.5412,123.0595,74.61,94,58,2.48,ID,1619818694
Coquimbo,-29.9533,-71.3436,60.8,72,0,11.5,CL,1619818225
Sfântu Gheorghe,45.8667,25.7833,55.0,77,35,2.75,RO,1619818695
Labuan,5.2767,115.2417,78.8,94,20,2.3,MY,1619818507
Haines Junction,60.7522,-137.5108,46.4,42,97,13.8,CA,1619818410
Matagami,49.7502,-77.6328,28.4,74,90,25.32,CA,1619818696
Cairns,-16.9167,145.7667,73.4,78,90,11.5,AU,1619818356
Buala,-8.145,159.5921,81.48,77,100,5.48,SB,1619818360
Arlit,18.7369,7.3853,90.91,5,0,9.93,NE,1619818172
Langenburg,49.2544,9.8458,42.01,100,90,2.3,DE,1619818697
Talnakh,69.4865,88.3972,15.84,81,24,2.71,RU,1619818281
Wajima,37.4,136.9,54.88,87,90,17.2,JP,1619818698
Korla,41.7597,86.1469,69.93,19,0,2.08,CN,1619818176
Xining,36.6167,101.7667,49.14,33,35,2.01,CN,1619818273
Dongobesh,-4.0667,35.3833,57.29,96,93,6.93,TZ,1619818699
Norman Wells,65.282,-126.8329,44.6,39,20,9.22,CA,1619817883
Alice Springs,-23.7,133.8833,48.2,61,60,4.61,AU,1619818700
Binzhou,37.3667,118.0167,43.02,75,0,7.23,CN,1619818428
Japura,-0.3167,102.35,70.7,95,100,2.13,ID,1619818701
Coyhaique,-45.5752,-72.0662,53.6,76,75,3.44,CL,1619818309
Podor,16.6527,-14.9587,91.4,24,0,2.3,MR,1619818702
Alugan,12.2188,125.4808,78.71,77,97,2.51,PH,1619818702
Tambopata,-12.7333,-69.1833,84.2,84,0,4.61,PE,1619818703
Santa Cruz de la Sierra,-17.8,-63.1667,80.6,47,0,5.75,BO,1619818510
Novy Urengoy,66.0833,76.6333,29.62,92,100,16.08,RU,1619818704
Touros,-5.1989,-35.4608,77.0,88,40,3.44,BR,1619818159
Najrān,17.4924,44.1277,78.8,31,75,9.22,SA,1619818705
Grand Gaube,-20.0064,57.6608,78.01,79,24,7.0,MU,1619818245
Honningsvåg,70.9821,25.9704,30.2,93,90,33.38,NO,1619818274
Fukuechō,32.6881,128.8419,64.24,85,96,24.43,JP,1619818276
Flinders,-34.5833,150.8552,55.0,89,1,1.01,AU,1619818174
Sabha,27.0377,14.4283,86.0,7,0,11.48,LY,1619818483
Jōetsu,37.1483,138.2364,53.17,72,62,5.84,JP,1619818707
Mnogovershinnyy,53.9353,139.9242,29.28,87,100,3.29,RU,1619818408
Mercedes,-34.6515,-59.4307,66.0,65,0,3.0,AR,1619818463
Samarai,-10.6167,150.6667,80.1,78,67,8.34,PG,1619818406
Porto Santo,33.072,-16.3415,62.6,63,40,12.66,PT,1619818708
Gamboma,-1.8764,15.8644,72.75,94,100,3.76,CG,1619818501
Smithers,54.7804,-127.1743,50.0,62,90,6.91,CA,1619818047
Praia da Vitória,38.7333,-27.0667,60.01,72,20,1.88,PT,1619818149
Huilong,31.8111,121.655,66.0,66,17,1.99,CN,1619818710
Luanda,-8.8368,13.2343,78.8,94,20,4.61,AO,1619818440
Elliot,-31.3333,27.85,40.15,95,77,0.07,ZA,1619818710
Iracoubo,5.4802,-53.2011,74.97,92,100,6.35,GF,1619818711
Along,28.1667,94.7667,67.77,64,97,1.81,IN,1619818690
Rodolfo Sánchez Taboada,31.7167,-116.5667,73.0,72,7,4.0,MX,1619818711
Kemin,42.7846,75.6892,54.18,94,100,3.94,KG,1619818712
Dehlorān,32.6941,47.2679,84.67,20,2,7.38,IR,1619818712
Progreso,21.2833,-89.6667,98.6,30,75,5.75,MX,1619818713
Buarcos,40.166,-8.8768,55.99,58,40,12.66,PT,1619818713
Ahar,38.4774,47.0699,54.3,86,100,6.24,IR,1619818714
Palencia,42.4167,-4.5,45.0,88,51,10.96,ES,1619818714
Byron Bay,-28.65,153.6167,62.6,100,90,6.91,AU,1619818715
Bitung,1.4451,125.1824,75.2,94,20,1.14,ID,1619818715
Ambulu,-8.345,113.6058,73.71,87,76,2.75,ID,1619818715
Rangpo,27.1833,88.5333,70.7,47,69,5.57,IN,1619818716
Sørland,67.667,12.6934,36.12,60,100,16.06,NO,1619818181
Yarmouth,41.7057,-70.2286,66.2,37,40,27.63,US,1619818288
Srīvardhan,18.0333,73.0167,81.36,76,82,6.38,IN,1619818717
Canary Islands,28.0,-15.5,66.2,59,20,13.8,ES,1619818717
Ariquemes,-9.9133,-63.0408,78.91,79,76,3.53,BR,1619818144
Xiaoshi,41.2971,124.1209,37.4,87,100,2.24,CN,1619818718
Kjøpsvik,68.097,16.3742,32.0,93,100,6.91,NO,1619818719
Bonthe,7.5264,-12.505,80.85,77,75,6.96,SL,1619818702
Jasper,37.2001,-94.3502,79.0,34,1,6.91,US,1619818719
Izumo,35.3667,132.7667,51.8,93,75,5.75,JP,1619818720
Collie,-33.3667,116.15,46.99,91,21,1.01,AU,1619818720
Kentau,43.5206,68.5094,53.38,46,54,15.68,KZ,1619818721
Fengkou,30.0833,113.2667,68.18,79,0,4.32,CN,1619818721
Buchanan,5.8808,-10.0467,78.8,94,75,6.93,LR,1619818722
Yambio,4.5721,28.3955,69.03,88,66,3.04,SS,1619818511
Taoudenni,22.6783,-3.9836,73.35,66,94,29.75,ML,1619818180
Chumikan,54.7183,135.315,29.89,97,100,10.02,RU,1619818165
La Santisima Trinidad,-14.8333,-64.9,84.2,39,0,6.91,BO,1619818723
Bosaso,11.2842,49.1816,84.2,67,63,3.49,SO,1619818724
Gazimurskiy Zavod,51.5461,118.3266,28.96,91,55,1.72,RU,1619818724
Muros,42.7762,-9.0603,48.99,80,3,3.0,ES,1619818415
Salihorsk,52.7876,27.5415,44.02,91,37,8.7,BY,1619818725
Springbok,-29.6643,17.8865,51.87,44,0,6.51,ZA,1619818725
Inongo,-1.95,18.2667,72.93,93,100,1.21,CD,1619818726
George Town,5.4112,100.3354,77.0,94,40,5.75,MY,1619817845
Carbonia,39.1672,8.5222,64.0,82,0,3.44,IT,1619818727
Bichura,50.5881,107.6022,37.08,55,100,4.5,RU,1619818727
Vanimo,-2.6741,141.3028,79.12,87,100,3.87,PG,1619818445
Kataysk,56.289,62.5841,35.49,66,23,6.04,RU,1619818728
Lázaro Cárdenas,17.9583,-102.2,83.1,62,61,11.48,MX,1619818210
Concepción del Oro,24.6333,-101.4167,79.7,15,78,16.84,MX,1619818728
Sicamous,50.8331,-118.9856,71.6,28,79,12.66,CA,1619818729
Barcelona,41.3888,2.159,61.0,77,40,11.5,ES,1619818729
Show Low,34.2542,-110.0298,75.99,13,1,10.36,US,1619818730
Ahipara,-35.1667,173.1667,64.98,63,81,11.03,NZ,1619818329
Aklavik,68.2191,-135.0107,32.0,69,100,5.75,CA,1619818215
Krasnosel'kup,65.7,82.4667,32.43,93,100,13.33,RU,1619818731
Toguchin,55.2353,84.3858,40.62,69,95,5.48,RU,1619818731
Marawi,7.9986,124.2928,75.0,90,44,5.99,PH,1619818220
Labuhan,-6.8844,112.2051,77.58,88,94,5.73,ID,1619818732
Vila Velha,-20.3297,-40.2925,75.2,69,20,11.5,BR,1619818220
Neftçala,39.3742,49.2472,58.8,84,84,4.68,AZ,1619818733
Bilibino,68.0546,166.4372,11.66,83,36,1.52,RU,1619818249
Fort-Shevchenko,44.5086,50.263,63.16,34,62,18.75,KZ,1619818734
Fortuna,40.5982,-124.1573,66.0,88,1,16.11,US,1619817909
Shar,49.5886,81.0453,44.42,72,100,11.86,KZ,1619818735
Stornoway,58.2093,-6.3865,42.8,75,20,10.36,GB,1619818735
Yaoundé,3.8667,11.5167,77.0,83,20,1.14,CM,1619818735
Mitsamiouli,-11.3847,43.2844,81.82,77,13,4.88,KM,1619818379
Noumea,-22.2763,166.4572,75.99,64,0,3.44,NC,1619818167
Inverell,-29.7833,151.1167,60.01,81,12,4.0,AU,1619818585
Pangnirtung,66.1451,-65.7125,33.8,86,20,3.44,CA,1619818268
Sechura,-5.5569,-80.8222,78.17,59,63,12.5,PE,1619818737
Ulaanbaatar,47.9077,106.8832,37.4,44,40,4.47,MN,1619818393
Uyuni,-20.4597,-66.825,45.95,19,1,5.3,BO,1619818738
Husavik,66.0449,-17.3389,32.0,93,90,11.5,IS,1619818188
Shādegān,30.6497,48.6647,84.2,65,0,4.61,IR,1619818739
Lompoc,34.6391,-120.4579,69.01,67,40,10.36,US,1619817928
Tabas,33.5959,56.9244,75.83,37,100,6.13,IR,1619818740
Caniço,32.6333,-16.85,62.6,63,40,11.5,PT,1619818740
Sobolevo,54.4299,31.8996,42.84,93,73,9.93,RU,1619818741
Udachny,66.4167,112.4,30.06,98,100,4.38,RU,1619818279
Sabang,5.8933,95.3214,82.22,75,95,5.55,ID,1619818651
Barstow,34.8986,-117.0228,96.8,6,1,8.05,US,1619818590
Margate,51.3813,1.3862,45.0,76,23,1.01,GB,1619818227
Ous,60.9058,61.5186,29.82,63,4,4.72,RU,1619818743
Madang,-5.2246,145.7966,78.42,88,87,1.23,PG,1619818743
Paracuru,-3.41,-39.0306,82.99,73,42,13.0,BR,1619818293
Danjiangkou,32.5428,111.5086,56.46,55,0,2.93,CN,1619818744
Salisbury,51.0693,-1.7957,41.0,87,75,3.44,GB,1619818744
Begoro,6.3871,-0.3774,73.44,84,100,4.29,GH,1619818745
Richards Bay,-28.783,32.0377,64.29,85,99,13.67,ZA,1619818284
Phang Nga,8.4509,98.5298,82.0,94,20,2.3,TH,1619818259
Leningradskiy,69.3833,178.4167,17.76,92,100,23.51,RU,1619818524
Amapá,1.0,-52.0,72.3,97,100,4.16,BR,1619818216
Okhotsk,59.3833,143.3,31.91,79,100,3.56,RU,1619818316
Gamba,-2.65,10.0,78.4,89,100,3.53,GA,1619818274
Assiniboia,49.6334,-105.9845,77.0,14,100,21.85,CA,1619818747
Keetmanshoop,-26.5833,18.1333,57.2,30,0,9.22,NA,1619818747
Cervo,43.6702,-7.4101,50.0,83,62,6.98,ES,1619818748
Lüleburgaz,41.4039,27.3592,57.2,88,0,1.14,TR,1619818749
Tripoli,32.8752,13.1875,77.52,43,47,10.87,LY,1619818749
Thinadhoo,0.5333,72.9333,83.08,70,32,3.47,MV,1619818260
Iqaluit,63.7506,-68.5145,35.6,75,90,17.27,CA,1619818158
Lethem,3.3803,-59.7968,87.8,62,20,13.8,GY,1619818750
Philadelphia,39.9523,-75.1638,66.2,27,75,25.32,US,1619818743
Cartagena,10.3997,-75.5144,84.2,79,75,6.91,CO,1619818751
Oktyabr'skiy,54.4815,53.471,43.36,64,50,7.23,RU,1619818751
Pimenta Bueno,-11.6725,-61.1936,74.5,86,35,3.47,BR,1619818483
Pāsighāt,28.0667,95.3333,74.64,52,100,3.51,IN,1619818631
Acapulco de Juárez,16.8634,-99.8901,86.0,66,20,11.5,MX,1619818234
Illela,13.7292,5.2975,88.68,8,1,4.16,NG,1619818753
Staritsa,56.5075,34.9354,43.72,92,49,9.73,RU,1619818753
Ternate,0.8,127.4,80.64,78,26,3.13,ID,1619818754
Dosso,13.049,3.1937,90.93,18,6,2.15,NE,1619818754
General Roca,-39.0333,-67.5833,62.6,59,0,2.3,AR,1619818484
Gouré,13.9835,10.2704,81.88,10,1,6.31,NE,1619818755
Luk Pu,23.1742,112.2809,77.0,5,82,0.58,CN,1619818756
Jalu,29.0331,21.5482,86.38,11,0,10.89,LY,1619818237
Forsytheganj,52.6333,29.7333,47.5,92,64,6.38,BY,1619818756
Worland,44.0169,-107.9554,80.6,16,1,8.05,US,1619818534
Santiago,-33.4569,-70.6483,66.99,67,27,5.86,CL,1619818173
Dindori,22.95,81.0833,79.48,14,58,2.75,IN,1619818757
Mehamn,71.0357,27.8492,32.0,93,75,16.11,NO,1619818203
Butterworth,5.3991,100.3638,77.0,94,40,5.75,MY,1619818758
Chunoyar,57.4467,97.3217,30.06,97,20,3.71,RU,1619818759
Omboué,-1.5746,9.2618,78.42,88,98,4.07,GA,1619818759
Kostanay,53.1667,63.5833,41.94,59,6,4.52,KZ,1619818759
Tcholliré,8.4022,14.1698,84.24,50,100,4.99,CM,1619818760
Buraidah,26.326,43.975,77.0,27,0,4.61,SA,1619818243
Chernyshevskiy,63.0128,112.4714,30.85,97,100,6.64,RU,1619818326
Nemuro,43.3236,145.575,38.91,76,93,24.0,JP,1619818281
Carros,43.7894,7.184,57.2,94,0,4.61,FR,1619818761
Muroto-misakicho,33.2833,134.15,55.4,76,75,6.91,JP,1619818583
Khovd,48.0056,91.6419,57.94,31,100,10.6,MN,1619818372
Mosetse,-20.75,26.65,66.45,66,33,6.55,BW,1619818762
Seymchan,62.8833,152.4333,30.85,93,100,0.38,RU,1619818763
Suihua,46.6406,126.9969,47.88,66,100,3.56,CN,1619818763
Tura,25.5198,90.2201,75.09,43,29,3.87,IN,1619818244
Juneau,58.3019,-134.4197,44.6,81,90,12.66,US,1619818764
Guangyuan,32.442,105.823,62.58,82,8,1.7,CN,1619818765
Bandundu Province,-3.3167,17.3667,74.25,93,100,2.98,CD,1619818765
Ishigaki,24.3448,124.1572,69.8,100,75,3.44,JP,1619818766
Dandong,40.1292,124.3947,47.41,64,100,5.21,CN,1619818766
Moose Factory,51.2585,-80.6094,32.0,59,90,16.11,CA,1619818767
Bilma,18.6853,12.9164,86.61,4,0,6.8,NE,1619818767
Kutum,14.2,24.6667,79.45,14,78,9.01,SD,1619818713
Chaumont,48.1167,5.1333,44.01,77,100,2.82,FR,1619818768
Sidi Ali,36.0998,0.4206,58.12,81,99,7.58,DZ,1619818768
Jumla,29.2747,82.1838,47.8,81,58,4.07,NP,1619818679
Ostrovnoy,68.0531,39.5131,16.25,89,48,6.85,RU,1619818179
Koungou,-12.7336,45.2042,78.8,89,0,5.75,YT,1619818770
Mackay,-21.15,149.2,68.0,88,40,12.66,AU,1619818565
Goderich,43.7501,-81.7165,42.8,61,17,26.46,CA,1619818770
Mahabalipuram,12.6264,80.1722,84.99,83,40,3.44,IN,1619818771
Cururupu,-1.8283,-44.8683,74.62,95,59,2.89,BR,1619818493
Klaksvík,62.2266,-6.589,35.6,93,40,3.44,FO,1619818214
Salekhard,66.53,66.6019,8.44,92,83,2.35,RU,1619818772
Dudinka,69.4058,86.1778,18.21,99,73,7.61,RU,1619818772
Shimoda,34.6667,138.95,63.0,54,0,5.01,JP,1619818773
Teruel,40.6667,-0.6667,59.0,76,20,5.75,ES,1619818773
Kautokeino,69.0125,23.0412,7.97,85,14,9.13,NO,1619818774
Jinchang,38.4953,102.1739,60.64,19,22,6.85,CN,1619818432
Maragogi,-9.0122,-35.2225,77.68,79,100,9.86,BR,1619818775
Acajutla,13.5928,-89.8275,87.8,45,40,5.75,SV,1619818263
Snåase,64.2457,12.3778,29.16,89,75,3.83,NO,1619818776
Rohatyn,49.409,24.6093,46.4,93,93,2.53,UA,1619818776
Sandakan,5.8402,118.1179,78.8,94,20,1.14,MY,1619818777
Road Town,18.4167,-64.6167,81.0,69,40,9.22,VG,1619818777
Port Blair,11.6667,92.75,81.0,74,100,1.57,IN,1619818515
